Date,Date,Open,High,Low,Close
2018-01-25,395,2000.0,2000.0,2000.0,2000.0
2018-01-26,396,2050.0,2050.0,1999.0,2000.0
2018-01-29,397,2010.0,2010.0,2000.0,2000.0
2018-01-30,398,2000.0,2000.0,2000.0,2000.0
2018-01-31,399,2000.0,2010.0,2000.0,2010.0
2018-02-01,400,2010.0,2011.0,2010.0,2010.0
2018-02-02,401,2050.0,2051.0,2049.0,2050.0
2018-02-05,402,2050.0,2110.0,2050.0,2110.0
2018-02-06,403,2110.0,2110.0,2110.0,2110.0
2018-02-07,404,2050.0,2050.0,2050.0,2050.0
2018-02-09,405,2050.0,2050.0,2050.0,2050.0
2018-02-12,406,2050.0,2050.0,2049.0,2050.0
2018-02-13,407,2050.0,2050.0,2050.0,2050.0
2018-02-14,408,2050.0,2050.0,2050.0,2050.0
2018-02-15,409,2050.0,2050.0,2050.0,2050.0
2018-02-20,410,2050.0,2050.0,2050.0,2050.0
2018-02-21,411,2050.0,2050.0,2050.0,2050.0
2018-02-22,412,2050.0,2050.0,2050.0,2050.0
2018-02-23,413,2050.0,2050.0,2050.0,2050.0
2018-02-27,414,2003.0,2003.0,2003.0,2003.0
2018-02-28,415,2050.0,2050.0,2050.0,2050.0
2018-03-02,416,2050.0,2050.0,2050.0,2050.0
2018-03-05,417,2050.0,2050.0,2010.0,2010.0
2018-03-06,418,2050.0,2051.0,2050.0,2051.0
2018-03-07,419,2230.0,2230.0,2230.0,2230.0
2018-03-08,420,2200.0,2200.0,2200.0,2200.0
2018-03-09,421,2199.0,2199.0,2199.0,2199.0
2018-03-14,422,2199.0,2200.0,2196.0,2200.0
2018-03-15,423,2136.0,2136.0,2136.0,2136.0
2018-03-16,424,2198.0,2198.0,2198.0,2198.0
2018-03-19,425,2136.0,2136.0,2136.0,2136.0
2018-03-20,426,2136.0,2136.0,2136.0,2136.0
2018-03-21,427,2081.0,2081.0,2081.0,2081.0
2018-03-22,428,2052.0,2052.0,2049.0,2050.0
2018-03-23,429,2050.0,2050.0,2050.0,2050.0
2018-03-28,430,2000.0,2000.0,2000.0,2000.0
2018-04-02,431,2050.0,2050.0,2049.0,2049.0
2018-04-03,432,2000.0,2000.0,2000.0,2000.0
2018-04-04,433,2000.0,2000.0,2000.0,2000.0
2018-04-05,434,2050.0,2050.0,2000.0,2050.0
2018-04-10,435,2040.0,2050.0,2040.0,2050.0
2018-04-11,436,2050.0,2050.0,2000.0,2010.0
2018-04-12,437,2045.0,2045.0,2045.0,2045.0
2018-04-13,438,2000.0,2000.0,2000.0,2000.0
2018-04-16,439,2000.0,2000.0,2000.0,2000.0
2018-04-17,440,2000.0,2000.0,2000.0,2000.0
2018-04-23,441,2046.0,2059.0,2046.0,2059.0
2018-04-24,442,2060.0,2111.0,2060.0,2111.0
2018-04-25,443,2099.0,2100.0,2099.0,2100.0
2018-04-26,444,2100.0,2100.0,2100.0,2100.0
2018-04-27,445,2158.0,2160.0,2158.0,2160.0
2018-04-30,446,2189.0,2200.0,2189.0,2200.0
2018-05-02,447,2201.0,2201.0,2200.0,2201.0
2018-05-03,448,2201.0,2203.0,2201.0,2201.0
2018-05-04,449,2201.0,2201.0,2201.0,2201.0
2018-05-07,450,2201.0,2201.0,2201.0,2201.0
2018-05-08,451,2250.0,2265.0,2250.0,2265.0
2018-05-09,452,2265.0,2265.0,2265.0,2265.0
2018-05-11,453,2201.0,2201.0,2201.0,2201.0
2018-05-14,454,2267.0,2267.0,2267.0,2267.0
2018-05-15,455,2335.0,2367.0,2335.0,2367.0
2018-05-16,456,2350.0,2366.0,2350.0,2366.0
2018-05-17,457,2360.0,2360.0,2360.0,2360.0
2018-05-18,458,2400.0,2430.0,2400.0,2420.0
2018-05-21,459,2420.0,2420.0,2420.0,2420.0
2018-05-22,460,2361.0,2361.0,2361.0,2361.0
2018-05-23,461,2360.0,2360.0,2360.0,2360.0
2018-05-24,462,2360.0,2360.0,2360.0,2360.0
2018-05-29,463,2300.0,2300.0,2299.0,2300.0
2018-05-30,464,2250.0,2250.0,2250.0,2250.0
2018-05-31,465,2300.0,2300.0,2300.0,2300.0
2018-06-01,466,2317.0,2369.0,2317.0,2369.0
2018-06-04,467,2350.0,2353.0,2350.0,2350.0
2018-06-05,468,2360.0,2360.0,2360.0,2360.0
2018-06-06,469,2400.0,2400.0,2398.0,2400.0
2018-06-07,470,2470.0,2470.0,2400.0,2400.0
2018-06-08,471,2470.0,2470.0,2470.0,2470.0
2018-06-11,472,2470.0,2470.0,2470.0,2470.0
2018-06-12,473,2449.0,2468.0,2449.0,2468.0
2018-06-13,474,2500.0,2500.0,2500.0,2500.0
2018-06-14,475,2500.0,2500.0,2500.0,2500.0
2018-06-15,476,2500.0,2500.0,2500.0,2500.0
2018-06-18,477,2525.0,2550.0,2525.0,2550.0
2018-06-19,478,2550.0,2590.0,2549.0,2590.0
2018-06-20,479,2600.0,2600.0,2590.0,2590.0
2018-06-21,480,2513.0,2513.0,2400.0,2400.0
2018-06-22,481,2600.0,2650.0,2600.0,2650.0
2018-06-25,482,2650.0,2650.0,2649.0,2650.0
2018-06-26,483,2600.0,2600.0,2510.0,2510.0
2018-06-27,484,2478.0,2478.0,2400.0,2400.0
2018-06-28,485,2450.0,2482.0,2450.0,2482.0
2018-06-29,486,2550.0,2550.0,2500.0,2500.0
2018-07-02,487,2500.0,2500.0,2500.0,2500.0
2018-07-03,488,2500.0,2500.0,2500.0,2500.0
2018-07-05,489,2450.0,2450.0,2450.0,2450.0
2018-07-06,490,2450.0,2450.0,2450.0,2450.0
2018-07-09,491,2451.0,2451.0,2450.0,2450.0
2018-07-10,492,2410.0,2410.0,2410.0,2410.0
2018-07-11,493,2445.0,2445.0,2445.0,2445.0
2018-07-12,494,2449.0,2449.0,2400.0,2400.0
2018-07-13,495,2400.0,2400.0,2400.0,2400.0
2018-07-16,496,2400.0,2400.0,2400.0,2400.0
2018-07-17,497,2460.0,2355.0,2352.0,2352.0
2018-07-18,498,2400.0,2400.0,2400.0,2400.0
2018-07-19,499,2425.0,2425.0,2425.0,2425.0
2018-07-20,500,2424.0,2425.0,2424.0,2425.0
2018-07-23,501,2425.0,2425.0,2425.0,2425.0
2018-07-25,502,2425.0,2425.0,2425.0,2425.0
2018-07-30,503,2410.0,2410.0,2410.0,2410.0
2018-07-31,504,2410.0,2410.0,2410.0,2410.0
2018-08-01,505,2450.0,2450.0,2450.0,2450.0
2018-08-02,506,2450.0,2450.0,2450.0,2450.0
2018-08-07,507,2402.0,2402.0,2401.0,2401.0
2018-08-08,508,2410.0,2410.0,2400.0,2400.0
2018-08-09,509,2400.0,2400.0,2400.0,2400.0
2018-08-10,510,2400.0,2400.0,2399.0,2399.0
2018-08-13,511,2399.0,2399.0,2399.0,2399.0
2018-08-15,512,2400.0,2400.0,2400.0,2400.0
2018-08-16,513,2399.0,2399.0,2399.0,2399.0
2018-08-17,514,2400.0,2400.0,2400.0,2400.0
2018-08-20,515,2360.0,2360.0,2360.0,2360.0
2018-08-21,516,2300.0,2300.0,2201.0,2201.0
2018-08-22,517,2390.0,2390.0,2390.0,2390.0
2018-08-23,518,2400.0,2400.0,2350.0,2350.0
2018-08-24,519,2400.0,2400.0,2400.0,2400.0
2018-08-27,520,2370.0,2370.0,2370.0,2370.0
2018-08-28,521,2370.0,2370.0,2370.0,2370.0
2018-08-29,522,2400.0,2449.0,2400.0,2448.0
2018-08-30,523,2449.0,2449.0,2449.0,2449.0
2018-08-31,524,2450.0,2450.0,2450.0,2450.0
2018-09-07,525,2401.0,2401.0,2401.0,2401.0
2018-09-10,526,2380.0,2380.0,2380.0,2380.0
2018-09-11,527,2360.0,2360.0,2360.0,2360.0
2018-09-12,528,2399.0,2399.0,2399.0,2399.0
2018-09-14,529,2360.0,2360.0,2300.0,2300.0
2018-09-17,530,2300.0,2300.0,2300.0,2300.0
2018-09-19,531,2300.0,2300.0,2260.0,2260.0
2018-09-20,532,2330.0,2335.0,2330.0,2330.0
2018-09-21,533,2331.0,2331.0,2300.0,2300.0
2018-09-24,534,2300.0,2300.0,2300.0,2300.0
2018-09-25,535,2300.0,2300.0,2300.0,2300.0
2018-09-26,536,2300.0,2300.0,2300.0,2300.0
2018-09-27,537,2350.0,2369.0,2350.0,2369.0
2018-09-28,538,2352.0,2400.0,2352.0,2366.0
2018-10-01,539,2300.0,2300.0,2261.0,2300.0
2018-10-02,540,2300.0,2301.0,2300.0,2300.0
2018-10-03,541,2300.0,2300.0,2290.0,2290.0
2018-10-04,542,2266.0,2266.0,2266.0,2266.0
2018-10-05,543,2300.0,2300.0,2300.0,2300.0
2018-10-08,544,2330.0,2330.0,2330.0,2330.0
2018-10-09,545,2330.0,2330.0,2330.0,2330.0
2018-10-10,546,2299.0,2299.0,2299.0,2299.0
2018-10-11,547,2299.0,2299.0,2299.0,2299.0
2018-10-18,548,2300.0,2365.0,2300.0,2365.0
2018-10-19,549,2300.0,2300.0,2300.0,2300.0
2018-10-22,550,2401.0,2473.0,2401.0,2473.0
2018-10-23,551,2473.0,2473.0,2473.0,2473.0
2018-10-24,552,2451.0,2626.0,2450.0,2500.0
2018-10-25,553,2451.0,2451.0,2451.0,2451.0
2018-10-26,554,2451.0,2451.0,2451.0,2451.0
2018-10-29,555,2401.0,2401.0,2400.0,2400.0
2018-10-31,556,2450.0,2450.0,2450.0,2450.0
2018-11-07,557,2400.0,2400.0,2351.0,2351.0
2018-11-08,558,2362.0,2400.0,2350.0,2400.0
2018-11-13,559,2400.0,2400.0,2400.0,2400.0
2018-11-15,560,2328.0,2328.0,2328.0,2328.0
2018-11-16,561,2328.0,2328.0,2328.0,2328.0
2018-11-19,562,2301.0,2301.0,2301.0,2301.0
2018-11-20,563,2301.0,2301.0,2301.0,2301.0
2018-12-04,564,2299.0,2300.0,2299.0,2300.0
2018-12-11,565,2231.0,2231.0,2231.0,2231.0
2018-12-12,566,2300.0,2300.0,2300.0,2300.0
2018-12-19,567,2117.0,2117.0,2117.0,2117.0
2018-12-20,568,2117.0,2117.0,2117.0,2117.0
2018-12-27,569,2100.0,2100.0,2100.0,2100.0
2018-12-28,570,2100.0,2100.0,2100.0,2100.0
2019-01-04,571,2100.0,2100.0,2100.0,2100.0
2019-01-08,572,2100.0,2100.0,2100.0,2100.0
2019-01-09,573,2163.0,2163.0,2163.0,2163.0
2019-01-10,574,2160.0,2160.0,2100.0,2100.0
2019-01-14,575,2100.0,2100.0,2099.0,2100.0
2019-01-16,576,2100.0,2100.0,2037.0,2100.0
2019-01-18,577,2145.0,2145.0,2145.0,2145.0
2019-01-22,578,2209.0,2209.0,2209.0,2209.0
2019-01-23,579,2200.0,2200.0,2143.0,2143.0
2019-01-24,580,2220.0,2220.0,2220.0,2220.0
2019-01-25,581,2200.0,2250.0,2200.0,2250.0
2019-01-30,582,2201.0,2201.0,2200.0,2200.0
2019-01-31,583,2235.0,2235.0,2235.0,2235.0
2019-02-01,584,2235.0,2235.0,2235.0,2235.0
2019-02-04,585,2234.0,2235.0,2234.0,2235.0
2019-02-06,586,2215.0,2215.0,2215.0,2215.0
2019-02-07,587,2215.0,2215.0,2215.0,2215.0
2019-02-13,588,2200.0,2220.0,2200.0,2220.0
2019-02-15,589,2220.0,2220.0,2220.0,2220.0
2019-02-19,590,2200.0,2286.0,2200.0,2286.0
2019-02-20,591,2286.0,2286.0,2285.0,2286.0
2019-02-21,592,2300.0,2300.0,2300.0,2300.0
2019-02-22,593,2300.0,2306.0,2300.0,2300.0
2019-02-25,594,2349.0,2349.0,2349.0,2349.0
2019-02-26,595,2349.0,2354.0,2349.0,2350.0
2019-02-27,596,2301.0,2302.0,2300.0,2302.0
2019-02-28,597,2302.0,2302.0,2302.0,2302.0
2019-03-01,598,2300.0,2305.0,2300.0,2300.0
2019-03-04,599,2370.0,2371.0,2368.0,2371.0
2019-03-05,600,2350.0,2370.0,2350.0,2370.0
2019-03-13,601,2300.0,2300.0,2300.0,2300.0
2019-03-15,602,2350.0,2350.0,2350.0,2350.0
2019-03-18,603,2350.0,2350.0,2350.0,2350.0
2019-03-19,604,2301.0,2301.0,2300.0,2300.0
2019-03-22,605,2300.0,2301.0,2300.0,2301.0
